ff_id,SC15,SC15_SE,SC9,SC9_SE,PAF,PAF_SE,city
4013,-1.447,0.424,0.251,0.554,-0.381,0.339,12
4015,-0.456,0.452,0.799,0.669,-0.331,0.338,12
4017,0.358,0.498,0.485,0.592,0.891,0.465,12
4018,0.623,0.565,0.871,0.682,-0.703,0.317,12
4019,-0.164,0.463,0.834,0.675,0.042,0.36,12
4020,0.071,0.985,0.343,0.564,0.056,0.991,12
4021,-1.231,0.448,-0.697,0.456,-0.809,0.318,12
4022,0.111,0.501,-0.468,0.476,-0.933,0.311,12
4024,-1.715,0.458,-0.453,0.515,-1.465,0.311,12
4025,-0.725,0.451,-0.279,0.508,-0.013,0.368,12
4030,0.044,0.985,0.215,0.535,0.035,0.99,12
4034,-0.088,0.477,-0.008,0.555,-0.606,0.331,12
4036,-1.648,0.436,-0.226,0.511,-0.988,0.314,12
4037,0.024,0.482,-0.145,0.514,-0.747,0.326,12
4038,0.307,0.516,-0.249,0.509,-0.021,0.368,12
4039,0.173,0.506,0.829,0.674,-0.901,0.326,12
4040,0.195,0.502,-0.027,0.981,-0.832,0.316,12
4041,-0.981,0.448,-0.45,0.478,-1.579,0.315,12
4042,0.36,0.535,0.813,0.672,-1.796,0.314,12
4043,0.014,0.985,0.071,0.528,0.012,0.99,12
4044,-0.576,0.457,0.172,0.529,-0.6,0.329,12
4045,0.469,0.531,0.377,0.564,0.6,0.424,12
4052,-0.456,0.456,-1.827,0.51,0.695,0.45,12
4058,-0.244,0.468,-0.559,0.474,-0.762,0.326,12
4059,-1.865,0.449,-0.018,0.522,-1.91,0.304,12
4060,-0.286,0.983,-1.392,0.466,-0.229,0.989,12
4061,1.173,0.667,-0.911,0.455,1.61,0.599,12
4062,1.19,0.666,0.548,0.599,1.347,0.546,12
